ID,Year_Birth,Education,Marital_Status,Income,KidsInHome,TeensInHome,CustomerJoinDate,AmmountSpentOnWine,AmmountSpentOnFruit,AmmountSpentOnMeatProducts,AmmountSpentOnFish,AmmountSpentOnSweetProducts,AmmountSpentOnGold,NumberPurchasesWithDiscount,NumberOfWebPurchases,NumberOfCatalogPurchases,NumberOfStorePurchases,NumberOfWebsiteVisits,Accepted3rdCampaignOffer,Accepted4thCampaignOffer,Accepted5thCampaignOffer,Accepted1stCampaignOffer,Accepted2ndCampaignOffer,ComplainedInLast2Years,AcceptedLastCampaignOffer,Age,Revenue,Purchases,AverageOrderValue,MostRecentPurchase,AcceptedAnyCampaignOrDiscount,CustomerComplainedRecently
3619,1957,Graduation,Single,58138,0,0,4/9/12,635,88,546,172,88,88,3,8,10,3,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,66,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),LATE (About a quarter),TRUE,FALSE
3620,1955,Graduation,Married,74268,0,0,2/14/13,199,66,315,97,174,41,1,4,3,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,68,HIGH ($250-$100),HIGH (10-15),VERY HIGH (>$50),VERY LATE (More than a quarter),TRUE,FALSE
3621,1955,PhD,Married,66465,0,0,3/30/13,1200,0,204,38,29,14,3,11,9,14,6,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,68,VERY HIGH (>$1000),VERY HIGH (>15),HIGH ($30 - $50),RECENT (<=3 weeks),TRUE,FALSE
3622,1945,Master,Together,62847,0,1,1/15/13,521,168,706,80,76,61,1,3,6,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,78,VERY HIGH (>$1000),HIGH (10-15),VERY HIGH (>$50),MODERATE (8 weeks),TRUE,FALSE
3623,1950,PhD,Widow,56551,1,1,7/5/14,67,4,32,17,2,16,3,2,1,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,73,MEDIUM ($50-$250),MEDIUM (5-10),MEDIUM ($15 - $30),MODERATE (8 weeks),TRUE,FALSE
3624,1966,Graduation,Single,43602,0,0,10/1/14,19,5,12,10,3,19,3,3,1,1,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57,MEDIUM ($50-$250),LOW (<=5),LOW (<=$15),MODERATE (8 weeks),TRUE,FALSE
3625,1969,Graduation,Together,23228,0,0,1/26/14,13.99,2,18,6,1,0,2,2,0,3,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,54,LOW (<=$50),LOW (<=5),LOW (<=$15),LATE (About a quarter),TRUE,FALSE
3626,1973,PhD,Single,46854,0,0,3/31/14,78.4,1,79,7,1,79,6,5,1,3,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,50,MEDIUM ($50-$250),MEDIUM (5-10),MEDIUM ($15 - $30),VERY LATE (More than a quarter),TRUE,FALSE
3627,1962,Graduation,Single,57967,0,1,3/3/13,229,7,137,4,0,91,5,4,2,9,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,61,HIGH ($250-$100),HIGH (10-15),HIGH ($30 - $50),MODERATE (8 weeks),TRUE,FALSE
3628,1964,2n Cycle,Together,68316,0,1,4/11/12,806,80,161,120,11,33,5,10,7,13,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,59,VERY HIGH (>$1000),VERY HIGH (>15),HIGH ($30 - $50),MODERATE (8 weeks),TRUE,FALSE
3629,1975,Master,Single,46098,1,1,8/18/12,39.64,0,27,0,0,36,4,3,2,2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,48,MEDIUM ($50-$250),MEDIUM (5-10),LOW (<=$15),VERY LATE (More than a quarter),TRUE,FALSE
3630,1959,Graduation,Divorced,52332,0,0,8/28/13,212,5,33,7,0,2,1,3,2,7,6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,64,HIGH ($250-$100),HIGH (10-15),MEDIUM ($15 - $30),LATE (About a quarter),TRUE,FALSE
3631,1969,Graduation,Married,48752,0,0,12/12/12,60.5,57,100,71,15,0,5,6,1,5,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,54,HIGH ($250-$100),HIGH (10-15),MEDIUM ($15 - $30),RECENT (<=3 weeks),TRUE,FALSE
3632,1971,Graduation,Divorced,44421,1,1,2/15/13,106.35,5,59,7,1,7,5,5,0,4,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,52,MEDIUM ($50-$250),MEDIUM (5-10),MEDIUM ($15 - $30),MODERATE (8 weeks),TRUE,FALSE
3633,1955,PhD,Married,22554,0,0,3/11/12,27,0,10,0,0,4,4,2,0,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,68,LOW (<=$50),MEDIUM (5-10),LOW (<=$15),MODERATE (8 weeks),TRUE,FALSE
3634,1958,Master,Single,75154,0,1,4/9/12,543,10,205,160,143,82,1,6,3,5,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,65,VERY HIGH (>$1000),HIGH (10-15),VERY HIGH (>$50),VERY LATE (More than a quarter),TRUE,FALSE
3635,1970,Graduation,Single,67384,0,1,10/11/12,880.31,40,175,158,53,107,2,7,8,5,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,53,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),MODERATE (8 weeks),TRUE,FALSE
3636,1958,2n Cycle,Single,75342,0,0,6/5/13,204,97,97,21,118,26,1,5,2,10,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,65,HIGH ($250-$100),VERY HIGH (>15),HIGH ($30 - $50),MODERATE (8 weeks),TRUE,FALSE
3637,1974,PhD,Married,46374,0,1,3/17/14,459.93,0,21,0,0,17,3,7,1,7,7,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,49,HIGH ($250-$100),HIGH (10-15),HIGH ($30 - $50),RECENT (<=3 weeks),TRUE,FALSE
3638,1961,Master,Married,61923,0,0,7/26/13,92,4,18,3,3,6,1,2,1,3,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,62,MEDIUM ($50-$250),MEDIUM (5-10),MEDIUM ($15 - $30),VERY LATE (More than a quarter),TRUE,FALSE
3639,1956,Master,Together,54603,1,1,9/7/13,145,13,46,17,2,4,6,4,2,5,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,67,MEDIUM ($50-$250),HIGH (10-15),MEDIUM ($15 - $30),VERY LATE (More than a quarter),TRUE,FALSE
3640,1976,Graduation,Single,47025,0,1,7/11/13,222.67,7,108,20,0,26,3,6,3,5,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,47,HIGH ($250-$100),HIGH (10-15),MEDIUM ($15 - $30),MODERATE (8 weeks),TRUE,FALSE
3641,1978,Graduation,Together,28587,0,0,12/2/14,20.58,4,17,12,10,13,3,2,0,4,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,45,MEDIUM ($50-$250),MEDIUM (5-10),LOW (<=$15),MODERATE (8 weeks),TRUE,FALSE
3642,1956,Master,Together,28839,1,1,11/3/14,24,0,7,0,0,1,2,2,0,3,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,67,LOW (<=$50),LOW (<=5),LOW (<=$15),VERY LATE (More than a quarter),TRUE,FALSE
3643,1959,Graduation,Divorced,63033,0,0,11/15/13,194,61,480,225,112,30,1,3,4,11,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,64,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),VERY LATE (More than a quarter),TRUE,FALSE
3644,1975,Master,Married,92163,0,0,12/12/12,676.21,183,797,106,163,20,0,5,11,5,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,48,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),MODERATE (8 weeks),TRUE,FALSE
3645,1969,Master,Single,26877,0,0,8/19/13,90.22,13,76,20,18,40,2,3,1,6,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,54,HIGH ($250-$100),MEDIUM (5-10),MEDIUM ($15 - $30),LATE (About a quarter),TRUE,FALSE
3646,1958,PhD,Divorced,32173,0,1,1/8/13,18,0,2,0,0,2,1,1,0,3,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,65,LOW (<=$50),LOW (<=5),LOW (<=$15),RECENT (<=3 weeks),TRUE,FALSE
3647,1965,PhD,Widow,54111,0,1,8/25/13,267,6,54,8,3,50,2,5,2,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,58,HIGH ($250-$100),HIGH (10-15),HIGH ($30 - $50),VERY LATE (More than a quarter),TRUE,FALSE
3648,1955,Graduation,Together,38946,0,0,10/24/13,116,6,82,6,6,41,2,3,1,6,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,68,HIGH ($250-$100),MEDIUM (5-10),MEDIUM ($15 - $30),VERY LATE (More than a quarter),TRUE,FALSE
3649,1979,Graduation,Divorced,15287,1,0,10/10/12,1.14,2,8,4,3,13,2,1,1,2,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,44,LOW (<=$50),LOW (<=5),LOW (<=$15),LATE (About a quarter),TRUE,FALSE
3650,1963,Graduation,Married,77437,0,0,11/26/13,560,21,442,29,44,29,1,4,5,11,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,60,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),LATE (About a quarter),TRUE,FALSE
3651,1970,2n Cycle,Married,15315,0,0,3/8/13,7.77,4,13,15,8,17,2,2,0,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,53,MEDIUM ($50-$250),MEDIUM (5-10),LOW (<=$15),MODERATE (8 weeks),TRUE,FALSE
3652,1979,Master,Together,62499,1,0,9/12/13,179.3,4,61,0,13,4,2,3,1,6,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,44,HIGH ($250-$100),MEDIUM (5-10),MEDIUM ($15 - $30),RECENT (<=3 weeks),TRUE,FALSE
3653,1967,PhD,Married,56320,0,1,8/4/13,201,53,172,116,77,83,3,5,4,7,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56,HIGH ($250-$100),VERY HIGH (>15),HIGH ($30 - $50),RECENT (<=3 weeks),TRUE,FALSE
3654,1979,Master,Married,32765,1,0,2/23/14,16.56,3,17,7,3,3,2,2,0,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,44,LOW (<=$50),MEDIUM (5-10),LOW (<=$15),MODERATE (8 weeks),TRUE,FALSE
3655,1955,PhD,Married,59821,0,1,12/4/13,629,0,70,0,0,35,6,11,2,7,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,68,HIGH ($250-$100),VERY HIGH (>15),HIGH ($30 - $50),RECENT (<=3 weeks),TRUE,FALSE
3656,1955,PhD,Married,59821,0,1,12/4/13,629,0,70,0,0,35,6,11,2,6,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,68,HIGH ($250-$100),VERY HIGH (>15),HIGH ($30 - $50),RECENT (<=3 weeks),TRUE,FALSE
3657,1978,Graduation,Married,51267,1,1,10/29/13,176.12,2,64,7,2,12,4,3,3,5,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,45,HIGH ($250-$100),HIGH (10-15),MEDIUM ($15 - $30),MODERATE (8 weeks),TRUE,FALSE
3658,1978,Graduation,Together,41580,1,1,10/12/12,67.11,5,24,4,0,3,3,2,1,3,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,45,MEDIUM ($50-$250),MEDIUM (5-10),MEDIUM ($15 - $30),RECENT (<=3 weeks),TRUE,FALSE
3659,1967,PhD,Married,63246,0,2,8/20/13,593,30,91,29,22,7,1,6,3,11,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,56,HIGH ($250-$100),VERY HIGH (>15),HIGH ($30 - $50),LATE (About a quarter),TRUE,FALSE
3660,1966,Graduation,Single,34704,0,1,4/27/13,29,0,5,0,1,5,1,1,0,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57,LOW (<=$50),LOW (<=5),LOW (<=$15),LATE (About a quarter),TRUE,FALSE
3661,1963,Master,Together,57288,0,1,6/25/14,527,0,21,0,0,60,3,8,1,8,6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,60,HIGH ($250-$100),VERY HIGH (>15),HIGH ($30 - $50),MODERATE (8 weeks),TRUE,FALSE
3662,1976,Master,Together,65104,0,1,11/14/13,575.69,0,232,13,20,50,2,3,5,7,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,47,HIGH ($250-$100),HIGH (10-15),VERY HIGH (>$50),RECENT (<=3 weeks),TRUE,FALSE
3663,1969,Graduation,Married,73448,0,0,10/2/14,234.51,106,189,23,41,130,1,7,2,9,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,54,HIGH ($250-$100),VERY HIGH (>15),HIGH ($30 - $50),RECENT (<=3 weeks),TRUE,FALSE
3664,1980,2n Cycle,Together,14515,0,0,9/11/12,5.89,4,9,6,36,35,4,2,2,3,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,43,MEDIUM ($50-$250),MEDIUM (5-10),LOW (<=$15),LATE (About a quarter),TRUE,FALSE
3665,1972,Graduation,Together,64474,0,0,10/22/13,352.64,35,172,56,86,93,2,8,2,10,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,51,HIGH ($250-$100),VERY HIGH (>15),HIGH ($30 - $50),LATE (About a quarter),TRUE,FALSE
3666,1973,Graduation,Married,34961,1,0,6/19/14,43.6,2,26,4,1,1,3,3,1,3,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50,MEDIUM ($50-$250),MEDIUM (5-10),LOW (<=$15),VERY LATE (More than a quarter),TRUE,FALSE
3667,1990,Graduation,Single,89706,0,0,4/23/13,448,71,951,40,17,17,1,6,11,10,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,33,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),LATE (About a quarter),TRUE,FALSE
3668,1954,Graduation,Divorced,72071,0,1,2/14/13,531,69,300,150,138,150,3,5,4,8,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,69,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),RECENT (<=3 weeks),TRUE,FALSE
3669,1984,Graduation,Together,37235,1,0,1/2/14,17.9,2,9,4,6,20,1,1,1,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39,MEDIUM ($50-$250),LOW (<=5),LOW (<=$15),LATE (About a quarter),TRUE,FALSE
3670,1952,PhD,Divorced,46610,0,2,10/29/12,96,12,96,33,22,43,6,4,1,5,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,71,HIGH ($250-$100),MEDIUM (5-10),HIGH ($30 - $50),RECENT (<=3 weeks),TRUE,FALSE
3671,1961,Graduation,Together,64260,0,0,11/1/13,539,169,816,20,0,30,1,4,5,4,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,62,VERY HIGH (>$1000),HIGH (10-15),VERY HIGH (>$50),RECENT (<=3 weeks),TRUE,FALSE
3672,1961,Master,Together,74881,1,1,8/3/13,505,72,270,36,27,54,4,9,2,11,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,62,HIGH ($250-$100),VERY HIGH (>15),HIGH ($30 - $50),MODERATE (8 weeks),TRUE,FALSE
3673,1978,Graduation,Single,7500,0,0,12/27/12,5.43,5,4,13,4,25,4,2,1,3,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,45,MEDIUM ($50-$250),MEDIUM (5-10),LOW (<=$15),RECENT (<=3 weeks),TRUE,FALSE
3674,1946,Master,Married,68657,0,0,2/20/13,482,34,471,119,68,22,1,3,5,11,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,77,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),RECENT (<=3 weeks),TRUE,FALSE
3675,1968,PhD,Divorced,50616,0,1,4/18/14,149.89,0,16,0,1,4,2,4,0,4,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,55,MEDIUM ($50-$250),MEDIUM (5-10),MEDIUM ($15 - $30),MODERATE (8 weeks),TRUE,FALSE
3676,1955,PhD,Married,59821,0,1,12/4/13,629,0,70,0,0,35,6,11,2,9,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,68,HIGH ($250-$100),VERY HIGH (>15),HIGH ($30 - $50),RECENT (<=3 weeks),TRUE,FALSE
3677,1956,Master,Single,64857,0,0,11/23/12,556,14,717,210,0,43,1,7,5,12,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,67,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),VERY LATE (More than a quarter),TRUE,FALSE
3678,1959,Graduation,Single,62450,0,1,6/1/14,515,47,267,62,66,38,2,5,5,3,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,64,HIGH ($250-$100),HIGH (10-15),VERY HIGH (>$50),LATE (About a quarter),TRUE,FALSE
3679,1962,PhD,Single,27238,1,1,4/20/13,37,0,17,0,0,3,3,3,0,4,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,61,MEDIUM ($50-$250),MEDIUM (5-10),LOW (<=$15),MODERATE (8 weeks),TRUE,FALSE
3680,1974,Master,Together,46014,0,0,1/21/13,328.19,0,59,19,9,44,10,7,1,8,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49,HIGH ($250-$100),VERY HIGH (>15),MEDIUM ($15 - $30),RECENT (<=3 weeks),TRUE,FALSE
3681,1985,2n Cycle,Together,7500,1,0,1/8/12,4.6,17,17,13,14,34,4,2,1,3,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38,MEDIUM ($50-$250),MEDIUM (5-10),MEDIUM ($15 - $30),VERY LATE (More than a quarter),TRUE,FALSE
3682,1987,2n Cycle,Single,23830,0,0,7/2/14,1.12,8,6,4,8,16,1,1,0,3,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36,LOW (<=$50),LOW (<=5),LOW (<=$15),RECENT (<=3 weeks),TRUE,FALSE
3683,1962,Graduation,Married,55759,0,1,11/28/12,675,0,85,10,7,77,5,10,3,10,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,61,HIGH ($250-$100),VERY HIGH (>15),HIGH ($30 - $50),VERY LATE (More than a quarter),TRUE,FALSE
3684,1980,Basic,Married,25965,0,0,7/9/12,1.81,2,11,41,7,11,1,2,0,3,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,43,MEDIUM ($50-$250),LOW (<=5),LOW (<=$15),MODERATE (8 weeks),TRUE,FALSE
3685,1979,2n Cycle,Together,60839,1,1,8/28/12,551.2,21,128,223,150,128,13,2,2,12,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,44,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),LATE (About a quarter),TRUE,FALSE
3686,1981,Master,Together,77882,0,0,4/30/14,82.78,129,396,188,22,15,1,3,3,5,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42,HIGH ($250-$100),HIGH (10-15),VERY HIGH (>$50),MODERATE (8 weeks),TRUE,FALSE
3687,1973,Graduation,Married,27803,1,0,8/26/12,9.19,26,46,38,9,49,2,3,0,4,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50,MEDIUM ($50-$250),MEDIUM (5-10),MEDIUM ($15 - $30),MODERATE (8 weeks),TRUE,FALSE
3688,1966,Master,Together,49618,0,0,1/26/13,80,3,26,4,2,14,4,3,1,3,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,57,MEDIUM ($50-$250),MEDIUM (5-10),MEDIUM ($15 - $30),VERY LATE (More than a quarter),TRUE,FALSE
3689,1978,Graduation,Divorced,63693,0,1,10/14/13,662.72,43,337,42,87,54,3,11,6,9,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,45,VERY HIGH (>$1000),VERY HIGH (>15),HIGH ($30 - $50),LATE (About a quarter),TRUE,FALSE
3690,1972,Graduation,Married,22063,1,0,8/8/13,5.62,10,13,3,11,11,2,2,0,3,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,51,MEDIUM ($50-$250),LOW (<=5),LOW (<=$15),MODERATE (8 weeks),TRUE,FALSE
3691,1969,Master,Single,26877,0,0,8/19/13,99.5,13,76,20,18,40,2,3,1,6,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,54,HIGH ($250-$100),MEDIUM (5-10),MEDIUM ($15 - $30),LATE (About a quarter),TRUE,FALSE
3692,1971,Graduation,Together,71819,0,1,8/28/13,1122.69,28,140,0,14,168,3,3,3,5,4,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,52,VERY HIGH (>$1000),HIGH (10-15),VERY HIGH (>$50),LATE (About a quarter),TRUE,FALSE
3693,1976,Graduation,Married,59809,0,2,10/18/12,510.62,16,141,32,41,49,3,3,3,6,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,47,HIGH ($250-$100),HIGH (10-15),VERY HIGH (>$50),MODERATE (8 weeks),TRUE,FALSE
3694,1949,PhD,Married,69098,0,0,2/16/13,1315,22,780,145,0,178,1,7,8,9,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,74,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),VERY LATE (More than a quarter),TRUE,FALSE
3695,1971,Master,Married,35178,1,0,10/1/13,26.62,1,13,2,2,18,1,1,1,2,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,52,MEDIUM ($50-$250),LOW (<=5),MEDIUM ($15 - $30),RECENT (<=3 weeks),TRUE,FALSE
3696,1976,Graduation,Divorced,12571,1,0,1/18/14,2.35,5,14,2,12,17,4,3,1,3,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,47,MEDIUM ($50-$250),MEDIUM (5-10),LOW (<=$15),VERY LATE (More than a quarter),TRUE,FALSE
3697,1981,2n Cycle,Married,51111,1,1,6/19/14,23.56,0,19,6,5,3,2,2,0,3,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,42,MEDIUM ($50-$250),LOW (<=5),LOW (<=$15),VERY LATE (More than a quarter),TRUE,FALSE
3698,1955,Graduation,Together,42586,1,1,10/29/12,194,2,56,0,0,0,5,4,1,7,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,68,HIGH ($250-$100),HIGH (10-15),MEDIUM ($15 - $30),RECENT (<=3 weeks),TRUE,FALSE
3699,1974,PhD,Single,63159,0,0,5/11/12,940.25,34,586,89,86,37,1,3,5,8,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),LATE (About a quarter),TRUE,FALSE
3700,1968,Master,Together,34053,0,1,10/9/12,69.19,0,21,7,0,12,1,3,0,3,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,55,MEDIUM ($50-$250),MEDIUM (5-10),MEDIUM ($15 - $30),RECENT (<=3 weeks),TRUE,FALSE
3701,1988,Graduation,Single,68655,1,1,10/8/12,560.03,19,832,75,118,38,1,4,5,11,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),VERY LATE (More than a quarter),TRUE,FALSE
3702,1984,Graduation,Married,31761,1,0,5/4/14,20.21,1,20,16,14,28,2,3,0,4,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,39,MEDIUM ($50-$250),MEDIUM (5-10),LOW (<=$15),VERY LATE (More than a quarter),TRUE,FALSE
3703,1943,PhD,Divorced,48948,0,0,1/2/13,437,8,206,160,49,42,2,7,10,5,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,80,HIGH ($250-$100),VERY HIGH (>15),HIGH ($30 - $50),MODERATE (8 weeks),TRUE,FALSE
3704,1951,Graduation,Married,30833,1,1,7/16/13,11,0,7,3,1,6,2,1,0,3,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,72,LOW (<=$50),LOW (<=5),LOW (<=$15),MODERATE (8 weeks),TRUE,FALSE
3705,1958,Graduation,Divorced,71964,0,0,5/20/13,587,51,932,180,34,86,1,5,6,5,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,65,VERY HIGH (>$1000),VERY HIGH (>15),VERY HIGH (>$50),VERY LATE (More than a quarter),TRUE,FALSE
3706,1976,Graduation,Married,58597,1,1,11/20/12,441.54,0,184,10,28,21,12,7,4,9,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,47,HIGH ($250-$100),VERY HIGH (>15),HIGH ($30 - $50),RECENT (<=3 weeks),TRUE,FALSE
3707,1973,Graduation,Married,26228,1,0,9/22/13,2.41,6,4,3,1,9,1,1,0,2,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50,LOW (<=$50),LOW (<=5),LOW (<=$15),MODERATE (8 weeks),TRUE,FALSE
3708,1976,PhD,Divorced,55412,0,0,11/22/13,9.64,5,28,11,1,8,1,2,0,3,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,47,MEDIUM ($50-$250),LOW (<=5),LOW (<=$15),LATE (About a quarter),TRUE,FALSE
3709,1962,Graduation,Divorced,39552,1,1,12/18/12,165,3,147,4,24,41,7,6,2,6,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,61,HIGH ($250-$100),HIGH (10-15),MEDIUM ($15 - $30),MODERATE (8 weeks),TRUE,FALSE
3710,1990,Basic,Single,14053,1,0,5/8/13,5,11,16,21,8,45,2,2,2,2,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,33,MEDIUM ($50-$250),MEDIUM (5-10),MEDIUM ($15 - $30),LATE (About a quarter),TRUE,FALSE
3711,1968,Graduation,Single,57107,0,1,8/24/12,189.12,0,120,0,0,137,7,4,4,8,7,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,55,HIGH ($250-$100),VERY HIGH (>15),MEDIUM ($15 - $30),MODERATE (8 weeks),TRUE,FALSE
3712,1979,Graduation,Divorced,15287,1,0,10/10/12,1.13,2,8,4,3,13,2,1,1,2,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,44,LOW (<=$50),LOW (<=5),LOW (<=$15),LATE (About a quarter),TRUE,FALSE
3713,1954,Graduation,Married,62820,0,0,11/5/13,398,61,265,138,61,53,1,3,4,6,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,69,HIGH ($250-$100),HIGH (10-15),VERY HIGH (>$50),MODERATE (8 weeks),TRUE,FALSE
